x,Q2,y,SE,JB,DA,SIG,ESIG
0.0501187,199.526,0.201064,15.7957,24.5548,12.1745,28.6819,42.3954
0.0501187,316.228,0.318665,7.7291,30.8347,24.2875,45.3124,24.3972
0.0501187,501.187,0.505051,5.3618,43.8661,28.1399,29.131,13.8251
0.0501187,794.328,0.800451,1.51039,29.9918,13.4551,13.6534,22.2274
0.0501187,1258.93,1.26863,0.921191,23.5645,4.53436,6.97345,27.1642
0.0501187,1995.26,2.01064,0,0,0,0,0
0.0501187,3162.28,3.18665,0,0,0,0,0
0.0501187,5011.87,5.05051,0,0,0,0,0
0.0501187,7943.28,8.00451,0,0,0,0,0
0.0794328,1.25893,0.000800451,22.9032,46.3998,31.4213,49.9665,50.135
0.0794328,1.99526,0.00126863,52.6299,48.2235,34.7542,49.2628,49.9659
0.0794328,3.16228,0.00201064,63.7796,44.2233,35.9078,45.6325,46.3985
0.0794328,5.01187,0.00318665,51.5014,41.6427,34.4529,43.5416,43.4883
0.0794328,7.94328,0.00505051,56.1162,34.4912,33.5839,36.059,37.0929
0.0794328,12.5893,0.00800451,56.2162,29.6681,29.8784,30.7269,31.4316
0.0794328,19.9526,0.0126863,55.3849,26.6128,25.2199,27.7869,28.254
0.0794328,31.6228,0.0201064,50.4668,24.1325,21.2923,26.0383,26.4183
0.0794328,50.1187,0.0318665,38.1644,20.9092,17.7156,22.1883,23.7158
0.0794328,79.4328,0.0505051,26.8861,20.2114,14.7544,21.2171,21.2311
0.0794328,125.893,0.0800451,19.0388,22.0341,12.9864,22.4777,22.7944
0.0794328,199.526,0.126863,18.095,24.254,11.8374,25.9163,37.9658
0.0794328,316.228,0.201064,9.28479,24.305,10.755,26.8623,41.0916
0.0794328,501.187,0.318665,6.27183,31.081,21.8695,44.4371,24.0882
0.0794328,794.328,0.505051,4.58457,42.1087,28.0499,28.5829,14.0344
0.0794328,1258.93,0.800451,2.85292,30.086,13.7514,14.6323,23.0749
0.0794328,1995.26,1.26863,0.922649,24.4352,4.80165,7.08817,27.7977
0.0794328,3162.28,2.01064,0,0,0,0,0
0.0794328,5011.87,3.18665,0,0,0,0,0
0.0794328,7943.28,5.05051,0,0,0,0,0
0.125893,1.25893,0.000505051,0,0,0,0,0
0.125893,1.99526,0.000800451,37.1819,49.8804,0,52.3468,51.1113
0.125893,3.16228,0.00126863,58.8503,51.8007,30.1472,52.2337,51.7367
0.125893,5.01187,0.00201064,56.6551,48.3647,31.9963,49.4432,49.1655
0.125893,7.94328,0.00318665,53.1672,43.9053,32.4658,44.6841,45.3927
0.125893,12.5893,0.00505051,57.5032,38.0125,30.8915,39.0307,39.2206
0.125893,19.9526,0.00800451,56.2617,33.1504,27.7162,34.137,34.7825
0.125893,31.6228,0.0126863,54.5467,29.6964,23.4835,31.0187,31.8253
0.125893,50.1187,0.0201064,46.304,25.7246,19.1999,27.151,27.1183
0.125893,79.4328,0.0318665,38.0377,23.9163,12.2633,25.0151,25.0974
0.125893,125.893,0.0505051,26.7321,22.2574,12.0633,23.0486,23.2898
0.125893,199.526,0.0800451,22.4243,21.6758,10.6555,23.7083,25.6858
0.125893,316.228,0.126863,12.5723,22.2253,9.25085,22.4152,33.4196
0.125893,501.187,0.201064,9.65928,23.5681,8.82417,27.4654,39.8105
0.125893,794.328,0.318665,5.50444,30.8166,22.2523,44.1163,23.6354
